Number of Nodes,Operation,Hops
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,6
50,search,6
