Number of Nodes,Operation,Hops
10,insert,4
10,search,4
10,insert,3
10,search,3
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,5
10,search,5
10,insert,6
10,search,6
10,insert,6
10,search,6
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,1
10,search,1
10,insert,3
10,search,3
10,insert,2
10,search,2
10,insert,3
10,search,3
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,3
10,search,3
10,insert,2
10,search,2
10,insert,4
10,search,4
10,insert,5
10,search,5
10,insert,1
10,search,1
10,insert,4
10,search,4
10,insert,5
10,search,5
10,insert,4
10,search,4
10,insert,1
10,search,1
10,insert,4
10,search,4
10,insert,1
10,search,1
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,6
10,search,6
10,insert,4
10,search,4
10,insert,6
10,search,6
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,1
10,search,1
10,insert,4
10,search,4
10,insert,1
10,search,1
10,insert,5
10,search,5
10,insert,1
10,search,1
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,5
10,search,5
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,5
10,search,5
10,insert,5
10,search,5
10,insert,4
10,search,4
10,insert,5
10,search,5
10,insert,3
10,search,3
10,insert,6
10,search,6
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,2
10,search,2
10,insert,6
10,search,6
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,1
10,search,1
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,5
10,search,5
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,2
10,search,2
10,insert,5
10,search,5
10,insert,1
10,search,1
10,insert,4
10,search,4
10,insert,3
10,search,3
10,insert,2
10,search,2
10,insert,4
10,search,4
10,insert,2
10,search,2
10,insert,3
10,search,3
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,1
10,search,1
10,insert,5
10,search,5
10,insert,5
10,search,5
10,insert,4
10,search,4
10,insert,6
10,search,6
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,5
10,search,5
10,insert,5
10,search,5
10,insert,4
10,search,4
10,insert,6
10,search,6
10,insert,6
10,search,6
10,insert,1
10,search,1
10,insert,5
10,search,5
10,insert,6
10,search,6
10,insert,5
10,search,5
10,insert,4
10,search,4
10,insert,4
10,search,4
10,insert,5
10,search,5
10,insert,5
10,search,5
50,insert,5
50,search,5
50,insert,5
50,search,5
50,insert,5
50,search,5
50,insert,3
50,search,3
50,insert,1
50,search,1
50,insert,3
50,search,3
50,insert,6
50,search,6
50,insert,5
50,search,5
50,insert,5
50,search,5
50,insert,7
50,search,7
50,insert,3
50,search,3
50,insert,6
50,search,6
50,insert,5
50,search,5
50,insert,5
50,search,5
50,insert,3
50,search,3
50,insert,3
50,search,3
50,insert,4
50,search,4
50,insert,6
50,search,6
50,insert,5
50,search,5
50,insert,1
50,search,1
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,3
50,search,3
50,insert,3
50,search,3
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,5
50,search,5
50,insert,3
50,search,3
50,insert,7
50,search,7
50,insert,5
50,search,5
50,insert,6
50,search,6
50,insert,5
50,search,5
50,insert,6
50,search,6
50,insert,5
50,search,5
50,insert,2
50,search,2
50,insert,3
50,search,3
50,insert,3
50,search,3
50,insert,7
50,search,7
50,insert,4
50,search,4
50,insert,3
50,search,3
50,insert,6
50,search,6
50,insert,5
50,search,5
50,insert,5
50,search,5
50,insert,8
50,search,8
50,insert,6
50,search,6
50,insert,8
50,search,8
50,insert,6
50,search,6
50,insert,5
50,search,5
50,insert,6
50,search,6
50,insert,4
50,search,4
50,insert,6
50,search,6
50,insert,5
50,search,5
50,insert,6
50,search,6
50,insert,5
50,search,5
50,insert,5
50,search,5
50,insert,5
50,search,5
50,insert,5
50,search,5
50,insert,3
50,search,3
50,insert,5
50,search,5
50,insert,6
50,search,6
50,insert,5
50,search,5
50,insert,5
50,search,5
50,insert,3
50,search,3
