Number of Nodes,Operation,Hops
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
10,insert,3
10,search,3
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,7
50,search,7
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,6
100,search,6
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,5
500,search,5
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
2000,insert,7
