Number of Nodes,Operation,Hops
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,4
50,search,4
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,1
50,search,1
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,1
50,search,1
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,3
50,search,3
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
50,insert,2
50,search,2
