Number of Nodes,Operation,Hops
100000,insert,12
100000,search,12
100000,insert,12
100000,search,12
100000,insert,13
100000,search,13
100000,insert,11
100000,search,11
100000,insert,15
100000,search,15
100000,insert,11
100000,search,11
100000,insert,11
100000,search,11
100000,insert,9
100000,search,9
100000,insert,17
100000,search,17
100000,insert,16
100000,search,16
100000,insert,11
100000,search,11
100000,insert,13
100000,search,13
100000,insert,14
100000,search,14
100000,insert,17
100000,search,17
100000,insert,15
100000,search,15
100000,insert,14
100000,search,14
100000,insert,12
100000,search,12
100000,insert,12
100000,search,12
100000,insert,13
100000,search,13
100000,insert,13
100000,search,13
100000,insert,12
100000,search,12
100000,insert,13
100000,search,13
100000,insert,7
100000,search,7
100000,insert,13
100000,search,13
100000,insert,15
100000,search,15
100000,insert,15
100000,search,15
100000,insert,13
100000,search,13
100000,insert,13
100000,search,13
100000,insert,4
100000,search,4
100000,insert,14
100000,search,14
100000,insert,17
100000,search,17
100000,insert,9
100000,search,9
100000,insert,13
100000,search,13
100000,insert,14
100000,search,14
100000,insert,16
100000,search,16
100000,insert,9
100000,search,9
100000,insert,9
100000,search,9
100000,insert,19
100000,search,19
100000,insert,13
100000,search,13
100000,insert,9
100000,search,9
100000,insert,10
100000,search,10
100000,insert,14
100000,search,14
100000,insert,18
100000,search,18
100000,insert,11
100000,search,11
100000,insert,9
100000,search,9
100000,insert,15
100000,search,15
100000,insert,13
100000,search,13
100000,insert,14
100000,search,14
100000,insert,13
100000,search,13
100000,insert,7
100000,search,7
100000,insert,9
100000,search,9
100000,insert,5
100000,search,5
100000,insert,14
100000,search,14
100000,insert,10
100000,search,10
100000,insert,13
100000,search,13
100000,insert,8
100000,search,8
100000,insert,14
100000,search,14
100000,insert,12
100000,search,12
100000,insert,15
100000,search,15
100000,insert,14
100000,search,14
100000,insert,10
100000,search,10
100000,insert,16
100000,search,16
100000,insert,11
100000,search,11
100000,insert,12
100000,search,12
100000,insert,18
100000,search,18
100000,insert,7
100000,search,7
100000,insert,16
100000,search,16
100000,insert,10
100000,search,10
100000,insert,15
100000,search,15
100000,insert,10
100000,search,10
100000,insert,16
100000,search,16
100000,insert,16
100000,search,16
100000,insert,17
100000,search,17
100000,insert,17
100000,search,17
100000,insert,15
100000,search,15
100000,insert,11
100000,search,11
100000,insert,12
100000,search,12
100000,insert,17
100000,search,17
100000,insert,9
100000,search,9
100000,insert,13
100000,search,13
100000,insert,12
100000,search,12
100000,insert,18
100000,search,18
100000,insert,10
100000,search,10
100000,insert,12
100000,search,12
100000,insert,13
100000,search,13
100000,insert,7
100000,search,7
100000,insert,11
100000,search,11
100000,insert,14
100000,search,14
100000,insert,12
100000,search,12
100000,insert,11
100000,search,11
100000,insert,17
100000,search,17
100000,insert,10
100000,search,10
100000,insert,9
100000,search,9
100000,insert,13
100000,search,13
100000,insert,15
100000,search,15
100000,insert,10
100000,search,10
100000,insert,10
100000,search,10
100000,insert,9
100000,search,9
100000,insert,12
100000,search,12
100000,insert,11
100000,search,11
,,12.62790698
