1717153733.5952365 , insert , ('127.0.0.1', 5000) , 60 ,pathLength:1
1717153752.275009 , insert , ('127.0.0.1', 5049) , 60 ,pathLength:3
1717153827.3395472 , insert , ('127.0.0.1', 5000) , 66 ,pathLength:1
1717153829.5899382 , insert , ('127.0.0.1', 5000) , 66 ,pathLength:1
1717153922.678972 , insert , ('127.0.0.1', 5000) , 66 ,pathLength:1
1717154028.2666445 , insert , ('127.0.0.1', 60) , 666 ,pathLength:4
1717154035.0589938 , insert , ('127.0.0.1', 60) , 666 ,pathLength:3
1717154046.6160073 , insert , ('127.0.0.1', 60) , 666 ,pathLength:3
1717154054.9256816 , insert , ('127.0.0.1', 60) , 666 ,pathLength:3
1717154075.446511 , insert , ('127.0.0.1', 5000) , 666 ,pathLength:3
1717154188.5945888 , insert , ('127.0.0.1', 5001) , 666 ,pathLength:1
1717154191.077413 , insert , ('127.0.0.1', 5001) , 666 ,pathLength:1
1717154210.7202628 , insert , ('127.0.0.1', 5003) , 666 ,pathLength:3
1717154213.6301756 , insert , ('127.0.0.1', 5003) , 666 ,pathLength:2
1717154222.9754934 , insert , ('127.0.0.1', 5004) , 666 ,pathLength:1
1717154241.717552 , insert , ('127.0.0.1', 5002) , 666 ,pathLength:3
